,YES_CHILD,R_HOME,D,F,G,H,I,J,M,N,O,P,R,S,U,X,Z,Male,customer_id2,net_purchase_amount,Sales_Quantity,Policy_Change,Treatment,customer_id,gender,age_band,est_income_code,ethnic_code,homeowner_code,length_of_residence,child,PC_Treatment
5540,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28537383,96.75,2.0,1,1.0,28537383.0,M,5.0,5.0,Z,O,10.0,Y,1.0
5541,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28537803,59.97,3.0,0,1.0,28537803.0,M,0.0,1.0,N,R,0.0,N,0.0
5542,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28537803,71.1,1.0,1,1.0,28537803.0,M,0.0,1.0,N,R,0.0,N,1.0
5543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28538536,149.99,2.0,0,1.0,28538536.0,M,0.0,7.0,N,O,15.0,N,0.0
5544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28538536,107.99,1.0,1,1.0,28538536.0,M,0.0,7.0,N,O,15.0,N,1.0
5545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28543155,96.85,1.0,0,1.0,28543155.0,M,6.0,4.0,N,O,15.0,Y,0.0
5546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28543155,440.97,2.0,1,1.0,28543155.0,M,6.0,4.0,N,O,15.0,Y,1.0
5547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28549394,100.18,2.0,0,1.0,28549394.0,F,0.0,8.0,H,O,13.0,N,0.0
5548,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28549394,280.39,3.0,1,1.0,28549394.0,F,0.0,8.0,H,O,13.0,N,1.0
5549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28555197,259.99,1.0,0,1.0,28555197.0,F,3.0,7.0,N,O,15.0,Y,0.0
5550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28555197,41.65,1.0,1,1.0,28555197.0,F,3.0,7.0,N,O,15.0,Y,1.0
5551,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28564537,899.0,1.0,0,1.0,28564537.0,M,0.0,6.0,N,R,2.0,N,0.0
5552,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28564537,932.07,3.0,1,1.0,28564537.0,M,0.0,6.0,N,R,2.0,N,1.0
5553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28566953,2198.07,2.0,0,1.0,28566953.0,M,10.0,3.0,O,O,8.0,N,0.0
5554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28566953,309.24,1.0,1,1.0,28566953.0,M,10.0,3.0,O,O,8.0,N,1.0
5555,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28569076,634.18,1.0,0,1.0,28569076.0,M,5.0,7.0,I,O,15.0,Y,0.0
5556,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28569076,299.0,1.0,1,1.0,28569076.0,M,5.0,7.0,I,O,15.0,Y,1.0
5557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28569646,626.23,3.0,0,1.0,28569646.0,M,5.0,9.0,N,O,15.0,N,0.0
5558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28569646,305.23,1.0,1,1.0,28569646.0,M,5.0,9.0,N,O,15.0,N,1.0
5559,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28572496,116.75,1.0,0,1.0,28572496.0,M,3.0,7.0,G,O,0.0,N,0.0
5560,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28572496,58.49,1.0,1,1.0,28572496.0,M,3.0,7.0,G,O,0.0,N,1.0
5561,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28576504,74.49,2.0,0,1.0,28576504.0,M,0.0,2.0,H,R,2.0,N,0.0
5562,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28576504,37.5,1.0,1,1.0,28576504.0,M,0.0,2.0,H,R,2.0,N,1.0
5563,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28582289,299.0,1.0,0,1.0,28582289.0,M,9.0,2.0,N,R,13.0,N,0.0
5564,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28582289,297.14,2.0,1,1.0,28582289.0,M,9.0,2.0,N,R,13.0,N,1.0
5565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28594464,158.4,2.0,0,1.0,28594464.0,M,4.0,6.0,N,O,6.0,Y,0.0
5566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28594464,173.4,1.0,1,1.0,28594464.0,M,4.0,6.0,N,O,6.0,Y,1.0
5567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28595017,96.3,5.0,0,1.0,28595017.0,F,7.0,9.0,S,O,2.0,N,0.0
5568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28595017,109.01,6.0,1,1.0,28595017.0,F,7.0,9.0,S,O,2.0,N,1.0
5569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28596474,55.25,1.0,0,1.0,28596474.0,F,5.0,9.0,N,O,10.0,N,0.0
5570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28596474,90.28,2.0,1,1.0,28596474.0,F,5.0,9.0,N,O,10.0,N,1.0
5571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28596637,749.0,2.0,0,1.0,28596637.0,M,0.0,8.0,N,O,13.0,N,0.0
5572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28596637,70.49,2.0,1,1.0,28596637.0,M,0.0,8.0,N,O,13.0,N,1.0
5573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28597549,130.72,1.0,0,1.0,28597549.0,F,0.0,4.0,Z,O,1.0,Y,0.0
5574,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28597549,453.88,11.0,1,1.0,28597549.0,F,0.0,4.0,Z,O,1.0,Y,1.0
5575,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28602259,44.99,1.0,0,1.0,28602259.0,F,0.0,4.0,G,O,1.0,N,0.0
5576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28602259,235.22,3.0,1,1.0,28602259.0,F,0.0,4.0,G,O,1.0,N,1.0
5577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28603012,102.64,2.0,0,1.0,28603012.0,F,10.0,9.0,N,O,15.0,Y,0.0
5578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28603012,38.85,1.0,1,1.0,28603012.0,F,10.0,9.0,N,O,15.0,Y,1.0
5579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28606373,89.99,1.0,0,1.0,28606373.0,F,1.0,9.0,N,O,15.0,N,0.0
5580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28606373,1619.1,1.0,1,1.0,28606373.0,F,1.0,9.0,N,O,15.0,N,1.0
